Date,Type,Error,Function,Trace
"03/17/2023, 01:01:17",KeyError,'Content',login,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    function(*args,**kwargs)
  File ""D:\Auxiliium\proj\y9_first_group_project\website\authentication.py"", line 27, in login
    organisations = json.loads(db.GetAllOrganisations())[""Content""]
                    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 01:03:03",TypeError,Object of type date is not JSON serializable,search,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    function(*args,**kwargs)
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 22, in search
    listings=db.SearchListings(searchTerm=searchterm)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\databaseHandler.py"", line 64, in Wrapper
    return json.dumps(dctWrapper, indent=4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\__init__.py"", line 238, in dumps
    **kw).encode(obj)
          ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 202, in encode
    chunks = list(chunks)
             ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 432, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 326, in _iterencode_list
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 439, in _iterencode
    o = _default(o)
        ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 180, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type date is not JSON serializable
"
"03/17/2023, 01:03:09",TypeError,Object of type date is not JSON serializable,search,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    function(*args,**kwargs)
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 22, in search
    listings=db.SearchListings(searchTerm=searchterm)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\databaseHandler.py"", line 64, in Wrapper
    return json.dumps(dctWrapper, indent=4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\__init__.py"", line 238, in dumps
    **kw).encode(obj)
          ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 202, in encode
    chunks = list(chunks)
             ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 432, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 326, in _iterencode_list
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 439, in _iterencode
    o = _default(o)
        ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 180, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type date is not JSON serializable
"
"03/17/2023, 01:07:01",NameError,name 'b' is not defined,login,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\authentication.py"", line 18, in login
    a=b
      ^
NameError: name 'b' is not defined
"
"03/17/2023, 01:07:53",NameError,name 'b' is not defined,login,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\authentication.py"", line 18, in login
    a=b
      ^
NameError: name 'b' is not defined
"
"03/17/2023, 01:13:14",NameError,name 'b' is not defined,home,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\pages.py"", line 10, in home
    a=b
      ^
NameError: name 'b' is not defined
"
"03/17/2023, 01:16:42",TemplateNotFound,hoepage.html,home,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 28, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\pages.py"", line 11, in home
    return render_template('hoepage.html')
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 146, in render_template
    template = app.jinja_env.get_or_select_template(template_name_or_list)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 1081, in get_or_select_template
    return self.get_template(template_name_or_list, parent, globals)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 1010, in get_template
    return self._load_template(name, globals)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 969, in _load_template
    template = self.loader.load(self, name, self.make_globals(globals))
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\loaders.py"", line 126, in load
    source, filename, uptodate = self.get_source(environment, name)
                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 62, in get_source
    return self._get_source_fast(environment, template)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 98, in _get_source_fast
    raise TemplateNotFound(template)
jinja2.exceptions.TemplateNotFound: hoepage.html
"
"03/17/2023, 01:46:13",TemplateNotFound,hoepage.html,home,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 28, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\pages.py"", line 10, in home
    return render_template('hoepage.html')
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 146, in render_template
    template = app.jinja_env.get_or_select_template(template_name_or_list)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 1081, in get_or_select_template
    return self.get_template(template_name_or_list, parent, globals)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 1010, in get_template
    return self._load_template(name, globals)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\environment.py"", line 969, in _load_template
    template = self.loader.load(self, name, self.make_globals(globals))
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\jinja2\loaders.py"", line 126, in load
    source, filename, uptodate = self.get_source(environment, name)
                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 62, in get_source
    return self._get_source_fast(environment, template)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\templating.py"", line 98, in _get_source_fast
    raise TemplateNotFound(template)
jinja2.exceptions.TemplateNotFound: hoepage.html
"
"03/17/2023, 01:50:22",AttributeError,'str' object has no attribute 'keys',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 37, in filter_listings
    listings={""Listings"":Filter(request.json,db.GetAllListings())}
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 192, in Filter
    if(isMatch(filter,record)):
       ^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 174, in isMatch
    fields=list(values.keys())
                ^^^^^^^^^^^
AttributeError: 'str' object has no attribute 'keys'
"
"03/17/2023, 01:52:37",TypeError,Object of type date is not JSON serializable,get_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 45, in get_listings
    allListings=json.loads(db.GetAllListings())[""Content""]
                           ^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\databaseHandler.py"", line 64, in Wrapper
    return json.dumps(dctWrapper, indent=4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\__init__.py"", line 238, in dumps
    **kw).encode(obj)
          ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 202, in encode
    chunks = list(chunks)
             ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 432, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 326, in _iterencode_list
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 439, in _iterencode
    o = _default(o)
        ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 180, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type date is not JSON serializable
"
"03/17/2023, 01:53:04",TypeError,Object of type date is not JSON serializable,get_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 45, in get_listings
    allListings=json.loads(db.GetAllListings())[""Content""]
                           ^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\databaseHandler.py"", line 64, in Wrapper
    return json.dumps(dctWrapper, indent=4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\__init__.py"", line 238, in dumps
    **kw).encode(obj)
          ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 202, in encode
    chunks = list(chunks)
             ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 432, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 326, in _iterencode_list
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 439, in _iterencode
    o = _default(o)
        ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 180, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type date is not JSON serializable
"
"03/17/2023, 01:54:41",TypeError,Object of type date is not JSON serializable,filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 37, in filter_listings
    listings={""Listings"":Filter(request.json,db.GetAllListings()[""Content""])}
                                             ^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\databaseHandler.py"", line 64, in Wrapper
    return json.dumps(dctWrapper, indent=4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\__init__.py"", line 238, in dumps
    **kw).encode(obj)
          ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 202, in encode
    chunks = list(chunks)
             ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 432, in _iterencode
    yield from _iterencode_dict(o, _current_indent_level)
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 326, in _iterencode_list
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 406, in _iterencode_dict
    yield from chunks
  File ""D:\Python_311\Lib\json\encoder.py"", line 439, in _iterencode
    o = _default(o)
        ^^^^^^^^^^^
  File ""D:\Python_311\Lib\json\encoder.py"", line 180, in default
    raise TypeError(f'Object of type {o.__class__.__name__} '
TypeError: Object of type date is not JSON serializable
"
"03/17/2023, 01:59:15",TypeError,"string indices must be integers, not 'str'",filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 37, in filter_listings
    listings={""Listings"":Filter(request.json,db.GetAllListings()[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
TypeError: string indices must be integers, not 'str'
"
"03/17/2023, 02:08:13",BadRequest,400 Bad Request: Did not attempt to load JSON data because the request Content-Type was not 'application/json'.,get_listing,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 60, in get_listing
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                ^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\werkzeug\wrappers\request.py"", line 540, in json
    return self.get_json()
           ^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\werkzeug\wrappers\request.py"", line 571, in get_json
    return self.on_json_loading_failed(None)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\flask\wrappers.py"", line 128, in on_json_loading_failed
    return super().on_json_loading_failed(e)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Python_311\Lib\site-packages\werkzeug\wrappers\request.py"", line 611, in on_json_loading_failed
    raise BadRequest(
werkzeug.exceptions.BadRequest: 400 Bad Request: Did not attempt to load JSON data because the request Content-Type was not 'application/json'.
"
"03/17/2023, 02:08:55",KeyError,0,get_listing,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 65, in get_listing
    return listings[0]
           ~~~~~~~~^^^
KeyError: 0
"
"03/17/2023, 13:14:33",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:22:29",KeyError,'Content',get_organisations,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 80, in get_organisations
    allOrganisations=json.loads(db.GetAllOrganisations())[""Content""]
                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:23:52",KeyError,'Content',get_organisations,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 80, in get_organisations
    allOrganisations=json.loads(db.GetAllOrganisations())[""Content""]
                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:39:59",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:44:02",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:48:52",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:49:08",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:58:56",KeyError,'Content',get_organisations,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 80, in get_organisations
    allOrganisations=json.loads(db.GetAllOrganisations())[""Content""]
                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 14:15:24",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 14:49:28",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:38",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:38",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
